C20_8,1449130.803,656416.784,2.996
C20_7,1449130.779,656417.694,3.001
C20_6,1449131.682,656417.875,3.003
C20_5,1449131.632,656417.895,4.002
C20_4,1449130.787,656417.692,4.002
C20_3,1449130.768,656416.830,3.997
C20_2,1449130.762,656417.649,5.544
C20_1,1449130.759,656417.651,5.767
C19_8,1449125.426,656416.830,2.999
C19_7,1449125.495,656417.647,3.001
C19_6,1449126.438,656417.780,2.999
C19_5,1449126.434,656417.784,4.002
C19_4,1449125.553,656417.704,3.999
C19_3,1449125.400,656416.884,4.002
C19_2,1449125.599,656417.727,5.761
C19_1,1449125.599,656417.726,5.913
C18_8,1449117.387,656417.538,3.001
C18_7,1449116.525,656417.652,3.001
C18_6,1449116.215,656416.793,3.000
C18_5,1449116.206,656416.863,3.999
C18_4,1449116.493,656417.630,4.000
C18_3,1449117.433,656417.506,4.002
C18_2,1449116.563,656417.653,5.419
C18_1,1449116.522,656417.622,5.633
C17_8,1449106.028,656417.417,3.003
C17_7,1449105.660,656417.265,3.003
C17_6,1449105.391,656416.703,3.002
C17_5,1449106.000,656417.405,3.999
C17_4,1449105.669,656417.259,4.002
C17_3,1449105.402,656416.680,4.001
C17_2,1449105.842,656417.311,8.521
C17_1,1449105.784,656417.487,8.749
C16_9,1449094.295,656417.018,4.001
C16_8,1449095.612,656416.583,3.001
C16_7,1449095.003,656417.344,3.005
C16_6,1449094.262,656416.960,3.000
C16_5,1449094.304,656417.029,4.002
C16_4,1449095.127,656417.325,3.995
C16_3,1449095.619,656416.571,4.001
C16_2,1449095.405,656417.169,5.331
C15_7,1449086.752,656416.434,3.000
C15_6,1449086.423,656417.121,3.003
C15_5,1449085.556,656417.029,3.001
C15_4,1449085.559,656417.035,3.998
C15_3,1449086.293,656417.191,4.003
C15_2,1449086.712,656416.254,4.002
C16_1,1449095.426,656417.144,5.476
C15_1,1449086.278,656417.197,5.078
C22_9,1449086.371,656417.161,5.259
C22_8,1449083.794,656409.129,2.997
C22_7,1449083.654,656409.787,3.000
C22_6,1449083.110,656410.037,2.999
C22_5,1449083.125,656410.050,4.003
C22_4,1449083.566,656409.893,4.001
C22_3,1449083.790,656409.120,4.002
C22_2,1449083.492,656409.948,4.387
C22_1,1449083.543,656409.926,4.526
C21_9,1449078.798,656409.215,3.002
C21_8,1449078.748,656408.917,3.000
C21_7,1449078.456,656409.797,3.003
C21_6,1449077.612,656409.710,3.000
C21_5,1449077.609,656409.731,4.006
C21_4,1449078.376,656409.838,4.003
C21_3,1449078.745,656408.949,3.999
C21_2,1449078.459,656409.787,4.774
C21_1,1449078.557,656409.695,4.921
