Name,X,Y,Z
TS0022,1449131.882,656409.692,1.400
TS0021,1449131.532,656409.729,1.402
TS0020,1449131.164,656409.563,1.402
TS0019,1449130.956,656409.235,1.400
TS0018,1449130.959,656408.791,1.402
TS0017,1449130.963,656408.784,2.397
TS0016,1449130.929,656409.136,2.400
TS0015,1449131.085,656409.472,2.404
TS0014,1449131.473,656409.703,2.401
TS0013,1449131.913,656409.675,2.403
TS0012,1449130.904,656409.000,5.807
